City,Strategy,Weather event,Community system,Category,Specific Impact/Sector
Denver,Explore programs for hospitals to install oﬀ-grid distributed alternative energy systems with islanding capabilities,,Energy delivery;Public health;Business continuity,technology,Health and Human Services
Denver,Pilot an off-grid distributed energy system with islanding capabilities at one or more Denver medical facilities,,Energy delivery;Public health;Business continuity,technology,Health and Human Services
Denver,Continue to improve social connectivity in communities through programs such as the Sustainable Neighborhoods Program,,Community & culture;Emotional and mental health,capacity building,Land Use & Transportation
Denver,Initiate a business and public education program regarding storm water,Flash/surface flood;Groundwater flood,Wastewater/stormwater management,education and outreach,Land Use & Transportation
Denver,"Community engagement and public forums to inform long-term, sustainable neighborhood planning",,Community & culture  ,education and outreach;planning,Land Use & Transportation
Denver,"Encourage private sector investment in reﬂective paving. This could include reduced permit fees, subsidized ﬁnancing, tax breaks, etc.",Heat wave;Extreme hot days,,financing,Land Use & Transportation
Denver,Integrate green infrastructure for retaining stormwater during development stage,,Wastewater/storm water management,green infrastructure,Land Use & Transportation
Denver,Implement Denver Zoning Code,,,land use,Land Use & Transportation
Denver,Improve drainage in low-lying areas of transport system,Flash / surface flood;Coastal flood;River flood,Transportation,physical infrastructure,Land Use & Transportation
Denver,"Install high-albedo hardscape when resurfacing roads, multi-use paths, and city parking lots, and identify life-cycle costs associated with concrete vs. asphalt",,Transportation,physical infrastructure,Land Use & Transportation
Denver,Paving options/and increasing use of reclaimed asphalt (built environment’s ability to withstand multiple climate scenarios),Changed seasonal patterns,Transportation,physical infrastructure,Land Use & Transportation
Denver,Implement paving strategies which reduce urban heat island eﬀect by using more green space and reﬂective pavements,Heat wave;Extreme hot days,Transportation,"physical infrastructure, green infrastructure",Land Use & Transportation
Denver,Strategic Transportation Plan (STP): Promote and encourage multi-modal transportation and maintain current transit infrastructure,,Transportation,planning,Land Use & Transportation
Denver,Update the Denver Comprehensive Plan and Blueprint Denver,,,planning,Land Use & Transportation
Denver,Mandate high-albedo parking surfaces within designated city center area,Heat wave;Extreme hot days,Transportation,policy,Land Use & Transportation
Denver,Require large redeveloped projects to increase permeability by 15% compared to previous conditions,Wastewater/stormwater management;Rain storm,Transportation,policy,Land Use & Transportation
Denver,Require permeable pavement for a portion of parking lots larger than one acre,Wastewater/stormwater management;Rain storm,Transportation,policy,Land Use & Transportation
Denver,Require review of climate risks for new transportation or land use projects prior to project approval,Changed seasonal patterns,Transportation,policy,Land Use & Transportation
Denver,Implement Strategic Parking Plans as it relates to adding bicycle parking to the zoning code,,Transportation,practice and behavior,Land Use & Transportation
Denver,Implement Strategic Transportation Plan for Transit Oriented Development,,Transportation,practice and behavior,Land Use & Transportation
Denver,Implement the Transit Oriented Development Strategic Plan,,Transportation,practice and behavior,Land Use & Transportation
Denver,Increase cleaning regime for storm drains to ensure maximum capacity,Flash / surface flood;coastal flood;river flood,Wastewater/stormwater management,practice and behavior,Land Use & Transportation
Denver,Conduct climate preparedness survey of major City employers and business owners to identify planning opportunities,,Industrial operations;Business continuity,research and monitoring,Land Use & Transportation
Denver,Explore options to request a climate preparedness survey to be completed as part of approval for new infrastructure projects,,,research and monitoring,Land Use & Transportation
Denver,Identify areas at high risk for storm damage,Rain storm;Severe wind;Extreme winter conditions,,research and monitoring,Land Use & Transportation
Denver,Investigate options for heat-resistant runway paving material,,Transportation,research and monitoring,Land Use & Transportation
Denver,Review which economic sectors are at greatest risk to climate-induced workforce migration and identify which sectors could beneﬁt,,Business continuity;Employment and job access,research and monitoring,Land Use & Transportation
Denver,Collaborate with Fire Corps to develop community partnerships and recruit volunteers to assist with managing and reducing the ﬁre risks in urban forests,Wildfires,Community & culture,capacity building,Urban Natural Resources
Denver,Continue to participate in Emerging Pests in Colorado Roundtable and the Denver Pest Round- table to ﬁnd best practices to reduce stress on urban landscapes,Insect infestation,,capacity building,Urban Natural Resources
Denver,Partner with public/private sectors to implement the South Platte River Vision Implementation Plan to improve water quality and residents’ river experience,,Recreation;Tourism;Water supply;Ecological function,capacity building,Urban Natural Resources
Denver,Continue to educate the public on the beneﬁts the urban forest provides to encourage protec- tion of tree resources on private lands based on the Denver Urban Forest Assessment ﬁndings,,Community & culture,education and outreach,Urban Natural Resources
Denver,Achieve the City’s tree canopy cover goal of 18% of land area,Rain storm;Extreme hot days,Wastewater/stormwater management,green infrastructure,Urban Natural Resources
Denver,Replace trees planted in public property and public right of way,Rain storm;Extreme hot days,Wastewater/stormwater management,green infrastructure,Urban Natural Resources
Denver,Encourage removal and relocation of water supply and treatment infrastructure which is vulnerable or at high-risk to climate change impacts,Changed seasonal patterns,Water supply;Wastewater/storm water management,physical infrastructure,Urban Natural Resources
Denver,Improve water and wastewater infrastructure to reduce risk of overﬂows or spills,,Water supply;Wastewater/storm water management,physical infrastructure,Urban Natural Resources
Denver,Address tree canopy in upcoming community plans,Rain storm;Extreme hot days,Wastewater/stormwater management,planning,Urban Natural Resources
Denver,Develop a waste management plan for debris generated by storms,Rain storm;Severe wind;Tornado,Waste management,planning,Urban Natural Resources
Denver,Include a discussion section on climate adaptation and mitigation in the Storm Drainage Master Plan documentation update,,Wastewater/stormwater management,planning,Urban Natural Resources
Denver,Include climate adaptation and mitigation in discussion and documentation related to 6-year Water Quality Strategic Implementation Plan currently underway by DPW planning staﬀ,,Water supply ,planning,Urban Natural Resources
Denver,"Managing ecosystem changes, planning for extreme events through Lake Manage- ment Protection Plan",,Ecological function,planning,Urban Natural Resources
Denver,Incorporate green infrastructure and other climate resilient design structures within storm system designs in the Storm Drainage Master Plan documentation update,Rain storm,Wastewater/stormwater management,"planning, green infrastructure",Urban Natural Resources
Denver,Implement/complete the Tree and Shade Master Plan while ensuring the Plan includes a component speciﬁcally addressing the additional services required to adapt to climate change,Changed seasonal patterns;Heat wave,,planning;practice and behavior,Urban Natural Resources
Denver,Adopt a tree protection ordinance for trees over six inches in diameter to help saplings establish and encourage growth of urban forest resources,,Ecological function,policy,Urban Natural Resources
Denver,Draft a new landscape ordinance to accommodate plants that can tolerate city’s projected future climate,Changed seasonal patterns,Ecological function,policy,Urban Natural Resources
Denver,"Review city ordinance in regards to tree permitting, tree protection on construction sites, heritage or historic trees, incentives and alternatives, planting and irrigation standards, and landscape standards",,Ecological function,policy,Urban Natural Resources
Denver,Continue aggressive ﬁre mitigation program in Mountain Parks and support ﬁre mitigation programs by others,Wildfires;Forest fire,,practice and behavior,Urban Natural Resources
Denver,Continue noxious weed abatement program,,Recreation,practice and behavior,Urban Natural Resources
Denver,Continue to follow Colorado Dept. of Agriculture invasive species list to control damage to Den- ver’s existing terrestrial ecosystems,Insect infestation,,practice and behavior,Urban Natural Resources
Denver,"Continue to implement the South Platte River Vision Implementation Plan, the Gulch Master Plan and Natural Area Management Plans",,,practice and behavior,Urban Natural Resources
Denver,Continue to implement the Water Quality Master Plan,,Water supply,practice and behavior,Urban Natural Resources
Denver,Create a Canopy Keepers program in which people adopt trees and commit to watering new trees for two years,,Community & culture,practice and behavior,Urban Natural Resources
Denver,Expand wildﬁre mitigation program,Wildfires,,practice and behavior,Urban Natural Resources
Denver,Implement applicable wildﬁre risk mitigation techniques such as prescribed/controlled burns on pilot forests,Wildfires;Forest fire,,practice and behavior,Urban Natural Resources
Denver,Lake aeration to minimize algal blooms,,Recreation;Water supply,practice and behavior,Urban Natural Resources
Denver,Prioritize and implement UDFCD gulch improvement projects,,,practice and behavior,Urban Natural Resources
Denver,Conduct outreach campaign to educate and encourage residents to plant trees that can thrive in future climates,Changed seasonal patterns,Community & culture,"practice and behavior, education and outreach",Urban Natural Resources
Denver,Analyze forest management techniques such as prescribed burning and removal of excess vegetation and/or dead fuels,Wildfires;Forest fires,,research and monitoring,Urban Natural Resources
Denver,Evaluate sustainable forestry certiﬁcation programs as a potential mechanism to increase resil- ience of forest resources,,Agriculture,research and monitoring,Urban Natural Resources
Denver,"Further studies on the impacts of warmer lake water on algae growth and the possible increase in taste, odor and water quality issues for water treatment plants",Heat wave,Water supply,research and monitoring,Urban Natural Resources
Denver,"Increase the frequency of waterway monitoring for early identiﬁcation of changes in river and lake health including turbidity, and contaminant loading",,Water supply,research and monitoring,Urban Natural Resources
Denver,Monitor beaver dams along water ways for eﬀects on water ﬂow,,Water supply,research and monitoring,Urban Natural Resources
Denver,Partner with Denver Water to expand water quality monitoring in Denver watersheds,,Water supply,research and monitoring,Urban Natural Resources
Denver,Partner with Denver Water to expand water way evaluation in Denver watersheds,,Water supply,research and monitoring,Urban Natural Resources
Denver,Study/understand eﬀects of warming surface water on animal and plant species,Heat wave,,research and monitoring,Urban Natural Resources
Denver,Update the right-of-way tree list that focuses on trees that can thrive in future climates,Changed seasonal patterns,Transportation,research and monitoring;practice and behavior,Urban Natural Resources
Denver,Pursue/implement forest management technology,Forest fire,,technology,Urban Natural Resources
Denver,Publish a new plant-growing list that focuses on plants that can thrive in altered climates,Changed seasonal patterns,,education and outreach,Water Consumption
Denver,Continue to use a fee structure that incentivizes reduced wastewater use,,Wastewater/stormwater management,financing,Water Consumption
Denver,"Continue and promote water eﬃcient rebates for residential, commercial, and industrial buildings",,Water supply,financing;water conservation,Water Consumption
Denver,Implement xeriscape landscape rebates for yards for residential and commercial properties,Drought,Water supply,financing;water conservation,Water Consumption
Denver,Intensify water management and conservation through funding research and incentives,Drought,Water supply,funding;water conservation,Water Consumption
Denver,Installation of synthetic turf for ball ﬁelds,,Wastewater/stormwater management,physical infrastructure,Water Consumption
Denver,Retroﬁt three City parks with smart irrigation controllers and upgraded distribu- tion systems,Drought,Water supply,physical infrastructure,Water Consumption
Denver,Address climate change in upcoming Golden Triangle Small Area Plan,,,planning,Water Consumption
Denver,Begin scoping process and update of streetscape standards to address climate adaptation,,,policy,Water Consumption
Denver,Develop a gray water ordinance for Denver,,Wastewater/stormwater management,policy,Water Consumption
Denver,Include reporting on water use in a building energy disclosure benchmark to track and monitor water use in major commercial properties around Denver,,Energy;Water supply,policy;research and monitoring,Water Consumption
Denver,Conserve soil moisture by mulching,Drought,Waterwater/stormwater management,practice and behavior,Water Consumption
Denver,Continue implementation of Denver Water’s Integrated Resource Plan,,Water supply,practice and behavior,Water Consumption
Denver,Continue to partner with Denver Water on continuing recycled water tree species suitability trials,,Wastewater/stormwater management,practice and behavior,Water Consumption
Denver,"Expand/oﬀer rebates and market incentives for residential, commercial, industrial and institutional customers by oﬀering free water saving devices, rebates for high- eﬃciency toilets, and grants for projects that demonstrate water-saving principles",Drought,Community & culture;Water supply,practice and behavior;financing;water conservation,Water Consumption
Denver,Continue to work with Denver Water to expand use of recycled water (purple pipe),Drought,Water supply;Wastewater/stormwater management,practice and behavior;physical infrastructure;water conservation,Water Consumption
Denver,"Continue to increase the eﬃciency of park irrigation systems, including conver- sions to recycled water where feasible",Drought,Water supply;Wastewater/stormwater management,practice and behavior;water conservation,Water Consumption
Denver,"Fully Implement DPR GamePlan: Green infrastructure, wise water management, water conservation plans",Drought,Water supply;Wastewater/stormwater management,practice and behavior;water conservation;green infrastructure,Water Consumption
Denver,Advocate for and implement xeric landscaping,Drought,Water supply;Wastewater/stormwater management,practive and behavior;water conservation,Water Consumption
Denver,Develop a Reclaimed Water Feasibility Study to inform decision makers of the cur- rent and possible future uses of reclaimed water,Drought,Water supply;Wastewater/stormwater management,research and monitoring,Water Consumption
Denver,"Review which gulches are most aﬀected by ﬂuctuations in volume, their impact to the city and develop strategies to reduce ﬂooding or shortages during weather events",Flash/surface flood;River flood;Groundwater flood,Water supply,research and monitoring,Water Consumption
Denver,"Continue to assess Denver Water’s resilience to climate change using the latest local climate projections, coordinate and be aware of new City adaptation policies and adjust practices accordingly",Drought,Water supply,research and monitoring;practice and behavior,Water Consumption
Denver,Develop a leak notiﬁcation program to inform customers whenever a spike in consumption meets requirements for a potential leak,,Water supply,technology,Water Consumption
Denver,Install Automated Meter Reading (AMR) devices to allow consumers to track water usage and identify wasteful or costly consumption patterns,,Water supply,technology,Water Consumption
Denver,Install rain sensors on existing irrigation systems,Drought;Rain storm,Water supply,technology,Water Consumption
Denver,Continue to engage business community on water conservation through Certiﬁably Green Denver program,Drought ,Water supply;Business continuity,water conservation,Water Consumption
Denver,Develop high water eﬃciency product standards for ﬁxtures installed in new developments exceeding a certain size threshold,Drought,Industrial operations,water conservation,Water Consumption
Denver,Explore purple pipe irrigation for eligible park land,,Wastewater/stormwater management,water conservation,Water Consumption
Denver,Complete construction of Phase II of the Central Control Master Plan,,,"water conservation, physical infrastructure",Water Consumption
Denver,"Encourage the use of water conservation technologies, such as waterless urinals and cisterns, through the development of local guidelines that are consistent with the building code",Drought,Water supply;Industrial operations,"water conservation, policy",Water Consumption
Denver,"Continue the City’s transition to low water use/drought resistant landscaping within medians, parks, and open space areas",Drought,,"water conservation, practice and beahavior",Water Consumption
Denver,Collaborate with Denver Water to pilot a neighbor-to-neighbor comparison of water use on utility bills to encourage conservation behavior in residences,Drought,Community & culture;Water supply,water conservation;education and outreach,Water Consumption
Denver,Continue to improve and expand upon Denver Water’s irrigation conservation programs,Drought,,water conservation;practice and behavior,Water Consumption
Denver,Expand the use of recycled water (purple pipe),Drought,Wastewater/stormwater management;Water supply,water conservation;practice and behavior,Water Consumption
Dorchester,"Billboards. They may be an eyesore along the public highways, but they do grab attention. A billboard mural depicting a local scene during a spring high tide or storm surge would certainly grab attention. A catchy slogan, such as “What’s Your Elevation? Sea Level Rise Coming to A Shoreline Near You” would ingrain itself into the subconscious so that people would think about what sea level rise means to them.",,Internet and communications,education and outreach,
Dorchester,"Education and Outreach Scenarios. Repetition is a good teacher, and the more ways the same information is conveyed, the more widespread the information will become and the greater it will be understood. This outreach should target all generations and all economic classes.",,Community & culture,education and outreach,
Dorchester,"Essay Contests. Schools can sponsor essay contests where children write about what they know about sea level rise or how they think it will affect them and their family. Sometimes creative ideas come from such exercises. As often happens, what children learn, they pass along to family.",,Community & culture,education and outreach,
Dorchester,"Mailings. Every property owner receives an annual or semi-annual property tax bill. A fact sheet describing the predicted situation in Dorchester County can be enclosed with the tax billings. For one first class stamp, five sheets of 18 lb letter-size paper can be mailed. Most tax statements now include only three sheets of paper, allowing for another two sheets at no extra postage cost.",,Internet and communications,education and outreach,
Dorchester,Public Service Messages. Most cable companies are required to provide some free cable access for public service purposes. Bay Country Communications is a local provider who often tapes,,Internet and communications,education and outreach,
Dorchester,"Speaker’s Bureaus and Regular Programs. The County agencies could establish a Speaker’s Bureau and schedule regular programs that keep repeating the information on expected tidal flooding in the county. There are people who don’t read the paper on a daily basis who might miss some of the meetings, but if they knew a meeting was held every other month on the first Wednesday;they could schedule their lives accordingly. Speakers from local agencies as well as scientific experts, insurance agents, and financial institutions, who could speak about how people can cope with the effects of sea level rise.",,,education and outreach,
Dorchester,Town Meetings. Meetings will need to be held to present the aerial and elevation information to local residents as it becomes available. Local residents in the southern part of the County have a long way to drive to get home from work if they work in the Cambridge area or farther. They are not likely to turn around and drive 35 to 45 minutes back to Cambridge for an educational program. Not unless the program is part of a festival with other activities that might detract from the sea level rise program.,,,education and outreach,
Dorchester,"With the public hearing process on the SLR District, implement an ambitious public education and outreach program.",,,education and outreach,
Dorchester,"Meet with National Flood Insurance Program officials regarding requirements to enroll in the Community Rating System so that buyout programs will be a future option. Implement the required strategies to qualify for a CSR rating. Once the rating program is established, advertise to local residents the availability of insurance premium reductions.",,,"education, practice and behavior",
Dorchester,"Establish Escrow Fund to defer maintenance monies for roads on the Road Closure list with the intention to allow escrowed funds to accumulate to the point where they can be used for a buy- out program. Consider policy to turn over ownership and maintenance responsibility for roads leading to non-occupied residences to the affected property owners (e.g., there is a long length of Goose Creek Road that serves only 2-3 dwellings, none of which appear to be occupied on a permanent basis).",,,financing;policy,
Dorchester,Apply for grant funding or create a funding source to re-establish bench marks.,,,funding,
Dorchester,Strongly participate with Corps of Engineers projects to restore and/or create barrier islands which act as buffers to the wetlands and mainland behind them.,,,green infrastructure,
Dorchester,"Abandon, relocate, raise, or seal any infrastructure that will sustain damage by inundation",,,physical infrastructure,
Dorchester,Provide for the closure of inundated roads where an alternative route exists (in SLR District)),,,physical infrastructure,
Dorchester,Create a Flooded Road Management Plan to address long-term viability of roads that are continually flooded and expected to be continually flooded by tidal water. Establish which roads are economically feasible for long-term maintenance. Establish a Road Closure strategy for roads where the cost to maintain exceeds the fair market value of occupied properties they serve.,,,planning,
Dorchester,"In the Facilities Needs Analysis, include a discussion that South Dorchester School lies in an area subject to the effects of sea level rise and that no new expansion or major modifications to the structure will be planned. Only minor modifications with a life expectancy of less than 10-15 years should be planned until such time as elevation data and sea level horizontal encroachment is updated.",,,planning,
Dorchester,"In the Transportation Guidelines section, include a list of roads where bus drivers have encountered tidally-flooded roads in the County. Elliotts Island and Maple Dam roads are two roads that flood on a frequent basis.",,,planning,
Dorchester,Multi-Hazard Mitigation Plan: This Plan has a good discussion on actions and costs. It would benefit to go into greater detail on why sea level rise is a risk to specific areas of the County. This would require the topographical information referenced in the recommendations for the Comp Plan.,,,planning,
Dorchester,"Recreation, Parks and Open Space, discuss those parks located in coastal floodplains and the impacts that can be expected by overland surge and sea level rise encroachment from shorelines and along drainage ditches. In Chapter 4: Agricultural Land Preservation, discuss the losses of farmland on Taylor’s Island to the effects of moisture and salinity as a result of overland surge and sea level encroachment. List those areas where additional agricultural land losses can be expected due to sea level rise.",,,planning,
Dorchester,"The following Action Strategy should be incorporated into the 2006 Draft Comprehensive Plan: 1. Provide a map with detailed topographical information for south Dorchester County and the Green Point Road area of Choptank River overlaid onto the most recent aerial photography available (2007). 2. Label this map with the projected overland surge elevations for Category One and Two storms and provide colored contour lines for these elevations. 3. Onto this map, overlay the predicted 25-year sea level rise risk line.",,,planning,
Dorchester,"Until federal agencies can update their maps, assume the 100-year flood elevation to be equivalent to the Category Two storm surge elevation, which will vary depending on the waterway (in SLR District)",,,planning,
Dorchester,Implement code changes to discontinue the use of Bermed Infiltration Ponds for septic disposal in new communities.,,,policy,
Dorchester,"Implement code changes to establish a minimum two-foot, preferably a four-foot, freeboard requirement.",,,policy,
Dorchester,Implement code changes to prevent replacement septic systems on lands at immediate risk of sea level rise (a threshold criteria will n,,,policy,
Dorchester,Implement code changes to require well heads to be adequately sealed and/or raised above Category Two overland surge elevations.,,,policy,
Dorchester,Prohibit expansion of footprints on existing developed lots (in SLR District),,,policy,
Dorchester,Require a minimum two-foot freeboard above base flood elevation (in SLR District),,,policy,
Dorchester,Require all new and existing well heads to be raised above the base food elevation plus a height to accommodate wave action on storm surge (in SLR District),,,policy,
Dorchester,"Restrict major renovations of structures to cosmetic repairs, re-roofing, and replacement of appliances (in SLR District)",,,policy,
Dorchester,Restrict septic disposal facilities to state of the art facilities whose integrity would not be compromised by storm surge (in SLR District),,,policy,
Dorchester,Implement code changes to prohibit building permits for any footprint expansions or major cost renovations to structures in immediate sea level risk zones,,,policy;land use,
Dorchester,Implement code changes to prohibit construction of new homes in the SLR District. At this time a buyout program should have been established.,,,policy;land use,
Dorchester,Implement code changes to prohibit new subdivisions in the SLR District. Implement code changes to prohibit development on unimproved lots that are more than 50% constrained by wetlands. ,,,policy;land use,
Dorchester,Prohibit investment on new infrastructure in the SLR District,,,policy;land use,
Dorchester,Prohibit new subdivisions (in SLR District),,,policy;land use,
Dorchester,Create a Sea Level Risk District (SLR) for inclusion in Comprehensive Plan and promulgate new codes and code changes associated with managing for sea level risk.,,,policy;land use;planning,
Dorchester,"Close roads where a reasonable alternate route exists, such as the southern end of Maple Dam Road to Shorter’s Wharf, and Smithfield Road.",,,practice and behavior,
Dorchester,Initiate participation in the NFIP Community Rating System;implement provisions for a buy-out program,,,practice and behavior,
Dorchester,Provide for the termination of maintenance for roads that serve only a few occupied residences  (in SLR District),,,practice and behavior,
Dorchester,"Provide for the termination of maintenance on roads where the cost to maintain exceeds
the Fair Market Value of the properties it serves (in SLR District)",,,practice and behavior,
Dorchester,"Technical Assistance. Technical assistance can be provided regarding how to work with or combat the effects of wet soils, developing planting plans to combat erosive conditions, how to sanitize areas with mildew, and other moisture and flooding related issues.",,,practice and behavior,
Dorchester,Advertise and award bid to re-establish bench marks and re-survey elevations to ground-truth questionable LIDAR data.,,,research and monitoring,
Dorchester,Assess losses forest and identify reforestation sites outside the sea level risk zone,,,research and monitoring,
Dorchester,Assess wetland losses and identify suitable areas to accommodate sea level encroachment and conversion to new wetlands,,,research and monitoring,
Dorchester,Determine how many occupied residential properties lie within elevation 2.0 to 4.0. These are the areas that are periodically inundated by normal spring high tides and wind-drive spring high tide surges.,,,research and monitoring,
Dorchester,Determine how many occupied residential properties lie within the above-listed regions.,,,research and monitoring,
Dorchester,"Determine which roads lay below elevation 3.5, 4.0, 4.5, and 5.0.",,,research and monitoring,
Dorchester,Identify properties for potential buy-out. Rank them in order of level of immediate risk.,,,research and monitoring,
Dorchester,"Inventory the number of existing septic systems for which there is no replacement technology available, or for where the size of the lot will not permit the installation of improved technology that can withstand periodic inundation. These lots should be first priority for buyout programs.",,,research and monitoring,
Dorchester,Inventory the number of wells and well head elevations that are below the Category Two overland surge elevation. This elevation is now believed to be the equivalent to the 100-year flood stage.,,,research and monitoring,
Dorchester,"Maps- Using LIDAR, create a map depicting elevations County-wide, starting with the areas south of US 50 and moving next to the Green Point Road area near Secretary.",,,research and monitoring,
Dorchester,Update the elevation data against current tidal gage data regarding mean high water and spring high tide elevations.,,,research and monitoring,
Dorchester,"Using NAIP photography or similar, create a map that overlays elevation data onto orthophoto aerial images of the same areas.",,,research and monitoring,
Dorchester,"During the next plan update, determine the elevations surrounding each treatment facility and pumping station, and assess whether any of these facilities are at risk to the effects of Category One and Two overland surge or sea level rise within the next 25 years. If so, equipment buildings and pumping equipment should be raised or made watertight to withstand potential flooding damage.",,,research and monitoring;physical infrastructure,
Durham,Disclose the location of possible sea level rise areas to potential buyers,,,education and outreach,Education and Outreach
Durham,Distribute flood protection safety pamphlets or brochures to the owners of property in high-risk areas.,,,education and outreach,Education and Outreach
Durham,"Educate citizens about safety during flood conditions, including the dangers of driving on flooded roads.",,,education and outreach,Education and Outreach
Durham,Encourage homeowners to purchase flood insurance.,,,education and outreach,Education and Outreach
Durham,Use outreach programs to facilitate technical assistance programs that address measures that citizens can take or facilitate funding for mitigation measures.,,,education and outreach,Education and Outreach
Durham,Coordinate with the Natural Resources Outreach Coalition (NROC) to bring the NOAA Road map for coastal adaptation planning to the Town of Durham. The NOAA Road map is also a planning tool as well as a public engagement method. o Strafford Regional Planning Commission (SRPC) will coordinate with NROC staff and Durham officials to guide the Town of Durham through the NOAA Roadmap for coastal adaptation planning. SRPC staff will partner with NROC to plan a series of community workshops to engage Durham residents in seeking ways to reduce the impacts of climate change and sea level rise.,,,"education, capacity building;planning",Education and Outreach
Durham,Locate utilities and critical facilities outside of areas susceptible to sea level rise to decrease the risk of service disruption.,,,physical infrastructure,Emergency Management
Durham,Replace exterior building components with more hazard-resistant materials to withstand more intense storm events,,,physical infrastructure,Emergency Management
Durham,"Retrofit critical facilities to be built 1 foot above the 500-year flood elevation or the predicted sea level rise level, whichever is higher",,,physical infrastructure,Emergency Management
Durham,Retrofit structures to elevate them about potential sea level rise levels.,,,physical infrastructure,Emergency Management
Durham,Develop an inventory of public buildings and infrastructure that may be particularly vulnerable to sea level rise,,,research and monitoring,Emergency Management
Durham,"Use GIS to map hazard areas, at risk-structures, and associated hazards (flood and storm surge) to access high-risk areas.",,,research and monitoring,Emergency Management
Durham,Reduce environmental impacts of energy use,,,energy,Energy
Durham,Reduce vulnerability to volatile petroleum costs,,,energy,Energy
Durham,Use energy efficient building practices,,,energy,Energy
Durham,Retrofit or replace energy inefficient housing,,,"energy, physical infrastructure",Energy
Durham,Retrofit or replace aging buildings and equipment,,,physical infrastructure,Energy
Durham,Encourage development and expansion of emerging energy technologies,,,technology,Energy
Durham,"Recommend requiring that new or replacement road/stream crossings are designed in compliance with New Hampshire Stream Crossing Guidelines11. Designers of these crossings should calculate the design storm conveyance requirements of bridges/culverts based on updated precipitation data from the Northeast Region Climate Center12. This is both a regulatory and non-regulatory requirement. Regulatory in that it should apply to proposed private structures that require a Town building permit or site plan, and non-regulatory in that the same standards should be followed by the Durham Department of Public Works.",,,building codes and engineering design standards,Managing Development
Durham,Establish setbacks in high-risk areas that account for potential sea level rise.,,,land use,Managing Development
Durham,"Promote conservation and management of open space, wetlands, and/or sea level rise boundary zones to separate developed areas from high-hazard areas.",,,land use,Managing Development
Durham,Consider prohibiting the redevelopment of areas destroyed by storms or chronic erosion in order to prevent future losses,,,land use;policy,Managing Development
Durham,"Use zoning, subdivision and site plan regulations, and/or a special overlay districts to designate high-risk areas and specify the conditions for the use and development",,,"policy, land use",Managing Development
Fairbanks,"Advocate for a distributed archive, analysis and interpretation of climate change data at the University of Alaska, including communication of information to planners and decision‐makers.",,,advocacy,
Fairbanks,"Encourage the legislature to adjust financial incentives to encourage values other than development of every parcel as the highest and best use. Utilize assessing revenues to preserve areas that might be better suited to agriculture, green space, or watershed protection.",,,advocacy,
Fairbanks,Support revision of the Environmental Atlas of Alaska used as design standards for engineers working in the Borough. New construction should use these revised standards to account for changing temperature and precipitation.,,,advocacy,
Fairbanks,"Adopt a ""best practices"" building code suitable to our environment. Identify those areas susceptible to flooding, permafrost and drainage issues;establish building codes that address those areas of concern.",,,building codes and engineering design standards,
Fairbanks,"Adopt best practices green (preferably LEED) building code for all new borough buildings. For 5‐10% increased up front construction costs, expect 20‐50% lower operating expenses over the life of the building. Healthier work environments also lead to fewer absences, and a more productive and pleasant work place (USGBC).",,,building codes and engineering design standards,
Fairbanks,Support revision of design climate standards for engineers working in the Borough. New construction should use these revised standards to account for changing temperature and precipitation.,,,building codes and engineering design standards,
Fairbanks,Coordinate with the State of Alaska and the building trades to educate the workforce and the design professionals to implement efficient and carbon reducing building practices.,,,capacity building,
Fairbanks,Encourage and participate in state‐wide conversation about impacts and opportunities from opening the Northwest Passage.,,,capacity building,
Fairbanks,"One way to accomplish this is to establish a new position on Borough staff as climate change advisor to serve as a resource to existing Borough programs and staff as they enfold planning for climate change. We recommend this person serve as advisor for mitigation and greenhouse gas reduction, which would dove‐tail with work reducing cost of energy, energy conservation, recycling and reduction of PM2.5. This person could also be assigned as advisor to incorporating climate change adaptation into Borough planning and business, school district curriculum development, and community outreach. This position should coordinate closely with the state climate change adaptation efforts.",,,capacity building,
Fairbanks,"As part of public outreach and education, hold public meetings to develop locally appropriate climate change adaptation plans. Information‐sharing would provide a mechanism for communities to learn from approaches that have proven successful in other communities.",,,capacity building;planning;education and outreach,
Fairbanks,Adapt and adopt Homer brochure for employees (See Appendix 2).,,,education and outreach,
Fairbanks,Continue public education programs (K‐12 and adult) related to the need for energy conservation and efficiency.,,,education and outreach,
Fairbanks,"Coordinate with State Division of Forestry for public education related to fire management plans for effective control of wildfires in protection zones near communities along with focus on removal of hazard fuels, prescribed fire, and emergency evacuation plans.",,,education and outreach,
Fairbanks,Education of the public about what they can do in their own homes and lives to improve air quality and reduce exposure to poor quality air.,,,education and outreach,
Fairbanks,"FNSB should acknowledge and continue to support the work of the superintendent, the school district curriculum administrators, and the science curriculum re‐write team.",,,education and outreach,
Fairbanks,"Public information/education to prepare for expected transportation, air quality and insect hazards.",,,education and outreach,
Fairbanks,"Support the development of outreach materials about climate change that are effective with the general public (There are many existing programs that are addressing this issue that should be augmented, including University of Alaska Cooperative Extension Service, Alaska Center for Climate Assessment and Policy, Scenarios Network for Alaska Planning).",,,education and outreach,
Fairbanks,"Support University public outreach in climate change impacts and adaptation, including climate‐change courses targeted at teachers and natural resource managers. This could involve the Alaska Center for Climate Assessment and Policy, the Scenario Network for Alaska Planning, and the Co‐Operative Extension.",,,education and outreach,
